entry_time,exit_time,signal,entry_price,stop_loss,tp1,tp2,tp3,lot_size,risk_usd,outcome,net_pnl,r_multiple,tp1_hit,tp2_hit,bars_held,balance,bias,soft_score
2023-10-09 07:00:00,2023-10-09 08:30:00,long,1852.21,1848.23,1858.18,1862.16,1868.13,0.06,23.88,sl,-27.3,-1.143,False,False,6,9972.7,bullish,2
2023-10-10 06:00:00,2023-10-10 09:00:00,long,1863.46,1859.5,1869.4,1873.36,1879.3,0.06,23.76,sl,-27.18,-1.144,False,False,12,9945.52,bullish,1
2023-10-13 13:30:00,2023-10-13 15:30:00,long,1889.16,1883.25,1898.02,1903.94,1912.8,0.04,23.64,tp3,45.0,1.904,True,True,8,9990.52,bullish,3
2023-10-16 06:00:00,2023-10-16 08:45:00,long,1919.1,1915.51,1924.48,1928.07,1933.46,0.07,25.13,sl,-29.12,-1.159,False,False,11,9961.4,bullish,2
2023-10-16 13:00:00,2023-10-18 04:45:00,long,1915.63,1909.58,1924.71,1930.76,1939.83,0.04,24.2,tp3,46.14,1.907,True,True,151,10007.54,bullish,3
2023-10-20 06:00:00,2023-10-23 01:00:00,long,1978.35,1972.89,1986.54,1992.0,2000.19,0.05,27.3,sl_after_tp2,35.37,1.296,True,True,72,10042.91,bullish,2
2023-10-23 06:00:00,2023-10-24 12:30:00,long,1973.3,1965.73,1984.65,1992.22,2003.58,0.03,22.71,sl,-24.42,-1.075,False,False,118,10018.49,bullish,2
2023-10-30 15:15:00,2023-10-30 15:30:00,long,2000.82,1997.12,2006.37,2010.07,2015.62,0.07,25.9,sl,-29.89,-1.154,False,False,1,9988.6,bullish,3
2023-11-02 11:15:00,2023-11-02 15:15:00,long,1988.7,1985.11,1994.09,1997.68,2003.06,0.07,25.13,sl,-29.12,-1.159,False,False,16,9959.48,bullish,3
2023-11-10 06:00:00,2023-11-10 12:00:00,long,1958.51,1951.56,1968.94,1975.89,1986.31,0.04,27.8,sl,-30.08,-1.082,False,False,24,9929.4,bullish,2
2023-11-14 16:15:00,2023-11-17 11:00:00,long,1959.86,1952.27,1971.24,1978.83,1990.22,0.03,22.77,tp3,28.63,1.257,True,True,255,9958.03,bullish,3
2023-11-17 11:15:00,2023-11-17 13:30:00,long,1990.88,1987.49,1995.97,1999.36,2004.44,0.07,23.73,sl,-27.72,-1.168,False,False,9,9930.31,bullish,3
2023-11-17 15:15:00,2023-11-17 15:30:00,long,1989.55,1985.28,1995.96,2000.22,2006.63,0.06,25.62,sl,-29.04,-1.133,False,False,1,9901.27,bullish,2
2023-11-21 06:00:00,2023-11-21 11:15:00,long,1991.88,1985.77,2001.05,2007.16,2016.32,0.04,24.44,sl,-26.72,-1.093,False,False,21,9874.55,bullish,2
2023-11-21 11:30:00,2023-11-21 16:30:00,long,1986.46,1982.54,1992.34,1996.26,2002.14,0.06,23.52,tp3,43.62,1.855,True,True,20,9918.17,bullish,2
