entry_time,exit_time,signal,entry_price,stop_loss,tp1,tp2,tp3,lot_size,risk_usd,outcome,net_pnl,r_multiple,tp1_hit,tp2_hit,bars_held,balance,bias,soft_score
2023-03-01 06:00:00,2023-03-01 11:15:00,long,1830.61,1826.85,1836.25,1840.01,1845.65,0.07,26.32,sl_after_tp1,17.5,0.665,True,False,21,10017.5,bullish,3
2023-03-01 11:30:00,2023-03-01 14:45:00,long,1832.0,1828.74,1836.89,1840.15,1845.04,0.08,26.08,sl_after_tp2,46.81,1.795,True,True,13,10064.31,bullish,2
2023-03-01 15:45:00,2023-03-01 17:00:00,long,1837.25,1832.96,1843.68,1847.98,1854.41,0.06,25.74,sl_after_tp1,17.37,0.675,True,False,5,10081.68,bullish,2
2023-03-02 10:45:00,2023-03-02 15:45:00,long,1833.95,1830.44,1839.22,1842.72,1847.99,0.07,24.57,sl,-28.56,-1.162,False,False,20,10053.12,bullish,2
2023-03-09 15:45:00,2023-03-10 15:30:00,long,1825.17,1817.6,1836.53,1844.1,1855.45,0.03,22.71,sl_after_tp2,43.14,1.9,True,True,91,10096.26,bullish,3
2023-03-10 15:45:00,2023-03-10 17:30:00,long,1842.51,1832.96,1856.84,1866.38,1880.71,0.03,28.65,sl_after_tp2,54.84,1.914,True,True,7,10151.1,bullish,3
2023-03-13 06:00:00,2023-03-13 08:45:00,long,1882.47,1874.79,1893.99,1901.67,1913.19,0.03,23.04,sl,-24.75,-1.074,False,False,11,10126.35,bullish,2
2023-03-13 10:00:00,2023-03-13 15:30:00,long,1878.69,1867.37,1895.67,1906.99,1923.97,0.02,22.64,sl_after_tp2,44.66,1.973,True,True,22,10171.01,bullish,2
2023-03-13 15:45:00,2023-03-14 15:45:00,long,1896.71,1888.94,1908.36,1916.14,1927.79,0.03,23.31,sl_after_tp1,16.51,0.708,True,False,92,10187.52,bullish,3
2023-03-16 15:30:00,2023-03-16 17:15:00,long,1925.11,1918.39,1935.19,1941.91,1951.99,0.04,26.88,sl,-29.16,-1.085,False,False,7,10158.36,bullish,3
2023-03-17 08:45:00,2023-03-17 10:00:00,long,1932.42,1927.96,1939.11,1943.57,1950.26,0.06,26.76,sl,-30.18,-1.128,False,False,5,10128.18,bullish,2
2023-03-17 13:15:00,2023-03-17 15:00:00,long,1935.5,1930.67,1942.74,1947.57,1954.82,0.05,24.15,sl_after_tp2,46.38,1.921,True,True,7,10174.56,bullish,3
2023-03-20 09:45:00,2023-03-20 11:15:00,long,2003.46,1991.04,2022.09,2034.51,2053.14,0.02,24.84,sl,-25.98,-1.046,False,False,6,10148.58,bullish,3
2023-03-24 13:00:00,2023-03-24 15:45:00,long,1992.46,1985.98,2002.18,2008.66,2018.38,0.04,25.92,sl_after_tp1,18.16,0.701,True,False,11,10166.74,bullish,2
2023-04-04 11:00:00,2023-04-04 14:15:00,long,1983.31,1979.09,1989.64,1993.86,2000.19,0.06,25.32,sl,-28.74,-1.135,False,False,13,10138.0,bullish,2
2023-04-04 16:45:00,2023-04-04 17:00:00,long,1992.6,1985.6,2003.1,2010.1,2020.6,0.04,28.0,sl_after_tp2,57.38,2.049,True,True,1,10195.38,bullish,3
2023-04-12 15:45:00,2023-04-12 16:45:00,long,2022.22,2005.78,2046.88,2063.32,2087.98,0.02,32.88,sl,-34.02,-1.035,False,False,4,10161.36,bullish,3
2023-04-13 07:00:00,2023-04-13 15:00:00,long,2018.75,2014.55,2025.05,2029.25,2035.55,0.06,25.2,sl_after_tp2,46.81,1.857,True,True,32,10208.17,bullish,2
2023-04-13 15:15:00,2023-04-13 15:45:00,long,2028.72,2022.05,2038.73,2045.4,2055.4,0.04,26.68,sl_after_tp2,50.95,1.91,True,True,2,10259.12,bullish,2
2023-04-14 06:30:00,2023-04-14 10:00:00,long,2045.04,2039.54,2053.29,2058.79,2067.04,0.05,27.5,sl,-30.35,-1.104,False,False,14,10228.77,bullish,2
2023-04-25 16:30:00,2023-04-25 20:45:00,long,1987.09,1983.22,1992.89,1996.76,2002.57,0.07,27.09,sl_after_tp2,51.0,1.882,True,True,17,10279.77,bullish,2
2023-04-27 06:00:00,2023-04-27 15:30:00,long,1999.29,1991.21,2011.41,2019.49,2031.61,0.03,24.24,sl,-25.95,-1.071,False,False,38,10253.82,bullish,3
2023-05-01 15:45:00,2023-05-01 17:00:00,long,2004.03,1994.89,2017.74,2026.88,2040.59,0.03,27.42,sl,-29.13,-1.062,False,False,5,10224.69,bullish,3
