<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.02.10	08:00:00	1860.09	1861.68	1857.84	1859.37	4256	0	5
2023.02.10	09:00:00	1859.42	1867.01	1857.63	1866.20	9468	0	5
2023.02.10	10:00:00	1866.30	1872.23	1865.89	1867.76	9869	0	5
2023.02.10	11:00:00	1867.76	1870.02	1861.39	1864.18	10222	0	5
2023.02.10	12:00:00	1864.15	1865.02	1860.45	1863.02	6090	0	6
2023.02.10	13:00:00	1863.00	1864.97	1860.75	1864.81	5474	0	6
2023.02.10	14:00:00	1864.81	1865.31	1862.69	1863.95	5072	0	7
2023.02.10	15:00:00	1864.01	1868.67	1861.77	1867.01	10678	0	7
2023.02.10	16:00:00	1867.02	1868.53	1860.21	1861.59	11100	0	7
2023.02.10	17:00:00	1861.61	1866.85	1859.03	1860.02	12922	0	6
2023.02.10	18:00:00	1860.01	1861.71	1856.44	1858.22	8420	0	6
2023.02.10	19:00:00	1858.22	1863.88	1857.61	1861.73	6890	0	8
2023.02.10	20:00:00	1861.73	1864.51	1861.18	1862.10	5372	0	8
2023.02.10	21:00:00	1862.10	1864.75	1861.37	1863.68	3557	0	8
2023.02.10	22:00:00	1863.71	1865.06	1862.71	1864.34	3275	0	7
2023.02.10	23:00:00	1864.34	1865.72	1863.21	1865.35	1464	0	6
2023.02.13	01:00:00	1864.68	1865.18	1862.66	1862.68	2049	0	12
2023.02.13	02:00:00	1862.74	1863.59	1860.64	1863.10	2599	0	9
2023.02.13	03:00:00	1863.08	1863.81	1858.12	1861.47	5361	0	6
2023.02.13	04:00:00	1861.47	1862.48	1859.84	1861.51	3700	0	6
2023.02.13	05:00:00	1861.60	1862.11	1858.83	1858.83	3043	0	7
2023.02.13	06:00:00	1858.84	1859.68	1857.81	1857.86	1935	0	4
2023.02.13	07:00:00	1857.88	1860.46	1857.06	1859.66	3036	0	5
2023.02.13	08:00:00	1859.67	1866.58	1859.38	1862.88	4433	0	5
2023.02.13	09:00:00	1862.89	1865.88	1862.18	1863.94	4363	0	6
2023.02.13	10:00:00	1863.97	1864.18	1860.06	1862.48	5801	0	6
2023.02.13	11:00:00	1862.48	1862.50	1854.69	1857.15	5870	0	7
2023.02.13	12:00:00	1857.12	1859.29	1853.92	1858.66	4171	0	7
2023.02.13	13:00:00	1858.65	1862.72	1858.65	1862.18	4629	0	8
2023.02.13	14:00:00	1862.18	1863.08	1859.37	1860.70	5036	0	6
2023.02.13	15:00:00	1860.70	1862.38	1855.60	1856.90	7883	0	8
2023.02.13	16:00:00	1856.90	1859.36	1853.24	1856.82	9562	0	8
2023.02.13	17:00:00	1856.83	1858.43	1854.64	1855.28	9121	0	8
2023.02.13	18:00:00	1855.30	1855.93	1850.68	1851.27	7289	0	5
2023.02.13	19:00:00	1851.26	1853.74	1850.67	1851.55	5140	0	8
2023.02.13	20:00:00	1851.58	1855.73	1850.47	1855.19	4588	0	8
2023.02.13	21:00:00	1855.22	1855.67	1851.28	1852.82	3825	0	8
2023.02.13	22:00:00	1852.79	1854.47	1851.30	1854.29	3807	0	0
2023.02.13	23:00:00	1854.27	1854.48	1852.92	1853.41	1163	0	0
2023.02.14	01:00:00	1853.67	1854.59	1853.29	1854.37	1010	0	0
2023.02.14	02:00:00	1854.37	1856.68	1853.98	1856.22	2609	0	10
2023.02.14	03:00:00	1856.14	1856.68	1854.45	1856.61	4156	0	5
